productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3
B000FGIUGU,1/55 D/C AH-64 Apache Helicopter,A1A9UE11NPRY6M,0/0,5,1357257600,What a great helicopter!!! Loads and loads of fun!! Great product...really sturdy! Great for little hands! Highly recommend this for imaginative play!,toys games,hobbies,scaled model vehicles
B000COGZ62,1/60 D/C VH-60N White Hawk Helicopter,A2TT2X1Q5HR0V6,0/1,5,1346716800,"...and a welcomed addition to my ""fleet"" of 1/60th Blackhawk Helicopters (though the on-line product description said it was both ""1/60th"" and ""1/72nd"" scale). It's beautifully done - the graphics are first-class. The only one I'm missing is the USAF version (having already the Army, Coast Guard, Navy, and Marine[?]/VIP-Fleet variants). To my knowledge, there's no AF version available.",toys games,hobbies,scaled model vehicles
B0006O2ZXA,1/72 Spad XIII,AW2GHDCRAE33S,0/0,5,1353542400,My 9 year old son had a Spad XIII on his Santa list last year. I was pleasantly surprised for the price. It arrived faster than I thought it would and seems to be a good quality. It has been a year and it is still holding up well but it sits on a shelf.,toys games,hobbies,model building kits tools
B00008ZCGX,10 Days in Africa Game,A1R6LJFSJZ0OQJ,0/0,5,1355616000,We have the 10 Days in Africa as well as the 10 Days in Europe and we love Them both! They are very educational for the kids and for the adults. I would highly recommend them for families with school age kids.,toys games,games,board games
B0009ETFLC,10 Game House,A1PFWFHIVAKQNI,04-Apr,3,1345766400,"This is a good combination of games, including some I'd never heard of before. You get all the pieces and instructions. It's all in one box. By that measure, this is an excellent value, and a great way to pass the time with family play.The problem is that you get what you pay for. This isn't solid wood. It's particle board with a cheap veneer. The game set arrived in a cardboard box surrounded with bubble pack cushions inside a larger box. No signs of damage on any of the packaging. Yet when we opened it up, we found that the game set was already in need of repair.The game boards you see pictured sliding out of the box are actually held up by small wooden shelves. Those shelves are glued to the inside of the box. There's no groove for them, no dovetailing, no screws or fasteners. Just a flat piece of particle board glued to another flat piece of particle board. And when the game set arrived, two of those shelves had already fallen off and needed to be glued back on. One corner of the Chinese Checkers tray needed to be glued back together, too.Treat it gently and keep a bottle of glue handy, and you'll have hours of family fun, with variety at your fingertips.",toys games,games,game collections
B000O3KMKG,10 Premium Bourbon Madagascar Vanilla Beans,AAB6ZMWFCK4GO,0/0,5,1351209600,The Premium Bourbon Madagascar Vanilla Vannila Beans were exactly as described in the ad. They arrived promptly and I have made my first batch of homemade French Vanilla Creamer with them. They are wonderful.,grocery gourmet food,pantry staples,herbs
B000OVNLQA,10 SR527SW 319 Battery Energizer Watch Batteries New,APBYVBJS445M3,0/0,5,1358899200,Kind of hard to write a lot of words about batteries. They work and were deliveredNot like they are pink or blue or big or smallThe correct size,health personal care,household supplies,household batteries
B0006GK7TM,"10"""" PADDLE BALL",A1SZSC0CO8HSMP,0/0,1,1356998400,Very cheap...saw later at dollar store. Would not recommend this to anyone. One of the rubber strings broke immediately. Not the quality i had as a child.,toys games,action toy figures,figures
B000066SW0,100 pcs Fun Ballz,A3N5PTKCLKTZKY,0/0,2,1353196800,"These are very low quality, thin plastic made in China. Not that you should have high hopes for plastic ball-pit balls, but probably 20% of them came out of the package dented. They'll work fine I guess, since the kids don't care if there are dents, but I'm guessing that they won't last very long before they've all been crushed and must be replaced.",toys games,sports outdoor play,ball pits accessories
B000066SW0,100 pcs Fun Ballz,A2SLBOWZ3GFKSU,0/0,5,1358294400,I needed 4 bags of these to fill up a standard size inflatable pool. They were a big hit with the little kids!,toys games,sports outdoor play,ball pits accessories
B000N8M3P4,100% All Natural Whey,A1R12UNGMDSBV,0/0,5,1351468800,"I love this whey protein. I have been buying it for a few years now and have not tried anything that comes close. I mix it in with everything! In to my oatmeal, my pancakes, homemade ice cream, baked goods...and my smoothies of course! It still tastes good just mixed with water in your blender bottle. I wish they would sell this in bulk at Costco! I go through it way too fast.",health personal care,nutrition wellness,nutrition bars drinks
B0009JQFF6,100% Organic West African Shea Butter,A347BYI0SBKAGD,0/0,5,1345939200,"I have 4b hair, Your typical african coily hair. I use this in conjunction with jojoba oil and my hair is softer and shinier. Heat the butter and use about a teaspoon and a half of jojoba oil. Mix it up. I really cant tell the difference between ""real"" and fake butter but I have been ordering shea butter online for years and its the only thing that has gotten my hair too grow. I was using Ultra Sheen, Pink Lotion, stuff called Super Grow, Doctor Miracle, Castor Oil and my hair didnt grow. Often it fell out.I use Organix Moisture Milk shampoo and no conditioner. (for my hair only! You may want a conditioner) Or sometimes I use Mane and Tail deep conditioner maybe once a month. I noticed for my hair, when I use a conditioner, my hair shrinks to the scalp unlike when just shampooing my hair is a bit looser. While wet, i do a two strand twist and moisturize with the butter and jojoba oil. In the morning, my hair is still a lil damp but its shiny and so soft. After a week, my hair is still soft.",beauty,skin care,body
B0009JQFF6,100% Organic West African Shea Butter,A16RZ4POYB04WL,01-Jan,5,1346716800,"I absolutely LOVE this product! I whipped it with my hand mixer, adding coconut oil and jojoba oil as well as a few drops of lavender essential oil. It is lovely, fluffy, and very moisturizing. Heals my skin well and I love using it for everything, even as a facial moisturizer. Highly recommend!",beauty,skin care,body
B0009JQFF6,100% Organic West African Shea Butter,ATZMH6C3MML6C,0/0,5,1357516800,"The photo above is a little misleading because it doesn't show the butter, just what it comes from. But the butter was a good quality and consistency, and a good ingredient for the lotion bars I made. Thank you!",beauty,skin care,body
B00028NBJW,100% Pure Freeze Dried Fresh Royal Jelly - 2000 mg - 75 - Capsule,AAQ36ARMV9YND,0/0,5,1360540800,This Royal Jelly is Potent (2000 mg) capsules. A real pick me up during the day. I will order again.,health personal care,nutrition wellness,vitamins supplements
B000GRENPA,100% Unrefined Certified Grade A Shea Butter 4 oz.,A1ST89UJT4L1C0,01-Jan,5,1359244800,"This is my secind time purchasing this product. I bought to uspe as a moisturizer instead of the high dollar ones at the pharmacy. My 5 yr old nephew licked his upper lip raw. My sister purchased high dollar creams but it didnt work . I put this shea butter on his chapped raw skin twice and by the next day it was completley healed! I use it as a skin cream and I am thrilled that it tightens the neck skin, reduces puffy eyes and erases fine lines. I swear by this cream and just placed another order. Its lightly scented and a little goes a long way!",beauty,skin care,body
B000CS931M,100% Whey Protein - All Natural,A3IVJP1U168N4M,0/0,4,1358208000,Tastes o.k. and seems to provides the supplemental protein that I need. The price is good for whey protein powder and milk without added hormones is used.,health personal care,nutrition wellness,sports supplements
B000CS931M,100% Whey Protein - All Natural,A1WRFQ91LKKU6V,0/0,4,1361318400,"Best tasting, easy to digest lactose free protein supplement I've found yet - just a (very, tiny) little bit too sweet.",health personal care,nutrition wellness,sports supplements
B0000AZ1Z4,"100% Whey, Chocolate Mint 5 lb",AI2RPJ74G91IO,0/0,5,1349308800,"I probably would have given this protein powder 3 stars no matter what just for using all natural products. I can't stand artificial sweeteners - they make me sick to my stomach. But I'm going to give it a full 5 stars because it works. I've been growing at a slow, steady pace in the recent past, though I notice I always seem to have some residual soreness. Drinking two shakes a day of this whey protein has virtually eliminated that. I feel I can go full blast at whatever activity I'm doing without worrying how it'll affect me for the following few days. Whatever it is about this whey protein, it's getting into my body in a meaningful way.You probably want to know about the taste. It's kind of bland, like you might expect from a plain vanilla whey protein powder. Nothing gross or offensive to the senses. Then again all I do is mix it with water and ice then chug. If you mix it in a shake with a little milk, or maybe an extra spoonful of sugar, or a scoop of ice cream, it might be really good. Or you might end up with additional volume of bland. Truth is, I kind of like it that way. If you want something different, try the chocolate or strawberry. But do try it.",health personal care,nutrition wellness,nutrition bars drinks
B0000AZ1Z4,"100% Whey, Chocolate Mint 5 lb",AYHZOX9CDS45E,0/0,5,1349827200,"I've read a lot of reviews and some complain about it not tasting like chocolate. No it doesn't taste like a bar of chocolate, its not suppose to. To me the taste is kind of like ovaltine. It mixes well in a shaker , I don't have any lumps. I usually make it using almond milk which adds flavor and some thickness. I really like the taste but don't compare it to a milk shake.",health personal care,nutrition wellness,nutrition bars drinks
B0000AZ1Z4,"100% Whey, Chocolate Mint 5 lb",A15WMOCL6US3XN,0/2,2,1355356800,It smells awful. I have to hold my nose to drink it or I get nauseous. The non natural tastes phenomenal.,health personal care,nutrition wellness,nutrition bars drinks
B0000AZ1Z4,"100% Whey, Chocolate Mint 5 lb",A2UKIF20M02JZZ,0/0,5,1356048000,I used Optimum Nutrition for a year and I got great results. I left it to try other whey protein blends ( I am a vegetarian so I stick with whey) and even though I kept lifting I started getting a layer of fat over my muscle that I found unattractive. I went back to Optimum Nutrition and within a week I saw a difference. I love it.,health personal care,nutrition wellness,nutrition bars drinks
B0000AZ1Z4,"100% Whey, Chocolate Mint 5 lb",A1O83GRZ4TDRLE,0/0,5,1358294400,"It is all natural, no artificial ingredients, no sugar. Perfect source of protein to kick off you day and post work out.",health personal care,nutrition wellness,nutrition bars drinks
B0000AZ1Z4,"100% Whey, Chocolate Mint 5 lb",AGQC8LGIBSSRI,0/0,5,1360540800,"Not much to this really, just straight up whey protein with amino acids. The Vanilla flavor is pretty good. I usually put a scoop in a shake with berries and peanut butter. If I'm short on time I just stir it in a small glass of water (too much will dilute the flavor). I was skeptical of getting into the world of supplements, but this is a pretty &#34;vanilla&#34; form of it.",health personal care,nutrition wellness,nutrition bars drinks
B0000AZ1YJ,"100% Whey, Vanilla 5 lb",A2YYFISKH0GLGI,0/0,5,1358640000,"i actually bought this over the &#34;un-natural&#34; one. i bought this from GNC initially cuz they have the buy 1 get half off deal. this is even cheaper. plus GNC doesn't always have buy 1 get 1 half price, so it's best getting it from here. i like this.. low calorie + good protein.. love it.",health personal care,nutrition wellness,nutrition bars drinks
B0000AZ1YJ,"100% Whey, Vanilla 5 lb",A16YYKJ37OAMJI,0/0,5,1359072000,"This was at a great price, has few ingredients, and is near perfect for my Primal Diet! Thanks soo much!",health personal care,nutrition wellness,nutrition bars drinks
B0006O6ZTA,10051 Block Kits Bulk (10),A2PFFDIK86TW2D,0/0,5,1348963200,"This is a great kit. It has all the pieces you need to build 10 cars.All parts were new, and wrapped really well.I used this for a company function and worked great.",toys games,building toys,stacking blocks
B000IOK5I0,"108 PC Magnetic Building Sets, Magic!",A2YXNWT898IL6R,0/0,5,1358467200,Both children and adults have a lot of fun with this set of magnets and steel balls.Just keep it out for all to use.,toys games,building toys,building sets
B0002YFRAW,12 cc Disposable Syringe with Tapered Curved Tip,A3GQXKOXCC2LMZ,0/0,5,1353456000,I love this type of syringe and would suggest it to anyone... especially for those who have issues with their ears. The tapered curved tip allows you to shoot peroxide deep in the ear which is great. Can be a little uncomfortable if not used to it but well worth it!,pet supplies,cats,health supplies
B000EGOE70,12 inch Inflatable Globe,A3I2OBVK1QL738,0/0,2,1357344000,"The product, though a nice inflatable globe, went flat within a week. The &#34;patch kit&#34; only works in a hole that appears on a smooth service. The creases in the globe (the likely place for a leak) cannot be repaired.",toys games,learning education,geography
B000P13QBY,12 inch Squawkin Chicken,A125OD77CV2NGC,0/0,2,1350604800,The product was a pinkish color. It did not match what I saw online. When I got the order it was crushed inside of the package and therefore ruin the shape.,toys games,action toy figures,figures
B000MZRQXC,"12"" & 8"" PROTRACTOR GONIOMETER SET",A15SRXZKLL3GEP,0/0,5,1357516800,Used it for my Kinesiology course and both are sturdy and work extremely well. No need to purchase more expensive ones,health personal care,medical supplies equipment,occupational physical therapy aids
B00064NZ2K,12-3 inch Soft Rubber Chicken Key Chain - Gag Gift,A1NNJ0QPCOPFEI,0/0,4,1359072000,"As a joke, my daughter wanted to get everyone a rubber chicken for Christmas. I come from a very large family and these were perfect for her plan. They arrived intact and seem to have held up to wear- haven't heard back anything negative.",toys games,novelty gag toys,gag toys practical jokes
B0002XHAUI,"14"" Low Powder Hand Exercise Web",AYPNYERXA3BW7,0/0,5,1359244800,I hand basal joint arthroplasty and this was used in therapy to help with wrist range of motion. I got one myself to try to improve faster. It worked really well and I still use it to increase flexibility of my wrists and thumbs.,health personal care,medical supplies equipment,occupational physical therapy aids
B0006II74M,15-Day Weight Loss Cleanse & Flush,AT5W9VTK0XZSU,0/0,4,1357257600,"I ordered this because a friend told me that it helped regulate bowel movements. Sure enough, it made me regular without any pain. However, after the 1st 15 days, it's not as effective. You may need to give your body a rest before taking on another bottle.",health personal care,nutrition wellness,weight loss products
B000A43P6C,"16"" easiLites Clip Human Hair Highlight by easihair",A16NCBYGCW0WIK,0/0,5,1355961600,These highlights are ready to go and easy to clip in. A little pricey for the small amount of hair but worth it for a quick update.,beauty,hair care,styling products
B000A48OLI,"16"" easiLites Clip Human Hair Highlight by easihair",A2NUXAF8V60NF5,0/0,4,1358812800,I ordered pink and Amazon mistakenly sent me the blonde. I didn't have time to send back and order again so I just kept it. The quality of the product however is pretty good.,beauty,hair care,styling products
B0007NGIKQ,18 Mocha Cinnamon Swirl Flavored Java Podz Individually-Wrapped Gourmet Coffee Pods,A2WMXGSYAAGRC2,0/0,3,1360281600,I wish there had been more coffee and cinnamon flavor. Just short in the taste dept. Added more cin. but that did not seem to help Always looking for great flavors for my senseo.,grocery gourmet food,beverages,coffee
B000IVRJ82,"18"" Formula 1 Hydroplane Racing RC Boat",A3O3R19DWVRDVQ,0/0,1,1356480000,Bought 3 of these boats and two already quit after one use. They leak water probably causing them to short out. DO NOT BUY!!,toys games,hobbies,radio control
B000FE82QU,"18"" Tiger Tail Rolling Muscle Massager",A3K8IR115DLHXG,0/0,5,1353888000,My son is a cross country runner and he needed this tool after he started to experience muscle pulls in his legs. A few other teammates had them and highly recommended this product. He uses this massager after every meet and practice.,health personal care,health care,massage relaxation
B0007WJO2G,1996 Happy Holidays Barbie,A2NL1WPQNZQZME,0/0,5,1358035200,My daughter loved it she collects them and did not have this one it was a great surprise good job,toys games,dolls accessories,dolls
B000O3SQHM,2 Professional 35% Teeth Whitening Refill Gel Sets - Optimized Formula By Watts Power White,AP1JWAY7J1TSD,0/0,5,1359331200,"Really like this product, bought with the watts thin trays. Tastes gross but to be expected, if possible roll pieces of paper towels to sit on gum lines and one final folded paper towel in between trays towards back of mouth to catch extra saliva. Helps to not dilute gel in trays and not taste residual gel. Did get some irritation on gums but I wanted it on the gum line to make sure it was really white there. LOvE the demineralization gel, calms everything down and the minty taste is really nice after doing the trays! Highly recommend!",health personal care,personal care,oral hygiene
B000RMPJ7U,2 Whl Lawn & Leaf Cart,A150O3L8W7UJTB,0/0,4,1358899200,"This is a very sturdy and well-made cart! You can leave the lid off if you wish. The trash bag is held on by clips, so be careful you don't misplace them. A rim and a bungy cord would have been a better way to attach the bag, but you just have to keep track of where you set down the clips. I really like it!",health personal care,household supplies,paper plastic
B000EAEAJ8,20' Large Dog Tie Out Cable Leash,AF2TQ1QF898AV,0/0,5,1346544000,"This tie out cable was a much better price through Amazon than the pet stores or even Walmart. That is why I purchased though Amazon. The brand is the same as if you bought it at the pet store or Amazon, so why would you pay more and have to drive to get this when Amazon offers a lot more without mileage and hassle.. :)I have large Boxer dogs and NO FENCE, right beside busy highway so I have to have a tie out cable that is strong/sturdy enough to support their weight and ""Pull power"" so they can remain safe when they are outside.Thank you Amazon for helping ease the pain with the economy and high prices by offering great products at a reasonable price..",pet supplies,dogs,collars
B000NIQ0S0,"20"" RC Boat Navy Battle Ship HT-2877 (Color May Vary)",A1UTLBA5N22I1P,01-Jan,5,1348790400,Nephew loves and is learning the finite controls with ease. A++Boat battery life is long lasting and takes a reasonable amount of time to charge.,toys games,hobbies,radio control
B000CPR236,200 Zeiss Lens Cleaning Cloths,A2APTMWR25ZMUH,0/0,5,1359072000,"Love these wipes. I use them on my eyeglasses and camera lens. No residue, no lingering odor to irritate your eyes.",health personal care,personal care,eye care
B000EDUMRY,2005 Pink Tag,A2KABLYIKX6STB,0/0,5,1361750400,I bought this for my 4 year old who LOVES anything Godzilla. I bought this at a great price! My son loves it!! I would recommend to a collector OR for a parent buying for a child.,toys games,action toy figures,figures
B000NX0WB6,"2007 George Washington Presidential $1 Coin - First President, 1789-1797",A1WY1RFQH9IQYF,0/0,4,1360368000,This artist did a much better job with the Washington likeness than lots of the others did. A great start but some are just not that great. You gotta have them all though.,toys games,hobbies,coin collecting
B0006I8MQK,200-Piece Wood Block Set with Tote,A31UG2ZE04R560,0/0,5,1354838400,"My 2 year old son was given these as a hand-me-down gift from my youngest sister (15). He mostly just dumps them in and out of this mini wagon he has (which we now store them in, despite the cute little bag) but he loves them! The amazing thing is, these blocks are probably around 10 years old yet they are still in great shape even though my sister played with them often as a child. If you are looking for quality wooden blocks at a reasonable price, you can't go wrong with these.And I've also read that Maxim guarantees that all of their products are lead free and sourced from renewable forests. That's a big plus in my book!",toys games,building toys,unknown
B000FI09QC,2013 Hammer Nutrition Complex Carbohydrate Energy Gel - 12-Pack,A3JH7M8EGMA7WO,0/0,5,1355875200,"I was kind of hesitant to order Hammer products from anywhere other than their website. Some of the photos on Amazon looked like old, previous labels. Happy to report, received product with new packaging and an expiration date as expected, in 2014. Awesome product for athletes.",health personal care,nutrition wellness,nutrition bars drinks
B000KJQH7Q,"24, Faubourg Eau de Toilette for Women by Hermes",A38ZV2FL84EUF5,0/0,2,1357689600,"I was SUPER excited to get this in the mail, and then I actually tried it on. BLEH I smelled like my mother in law. Which is fine if you are over 50 but it made me feel really old. The upside is it has quite a strong staying power. I had to take a bath and scrub up with soap to get the smell off. I wanted it to be elegant and but it was just gross.",beauty,fragrance,women s
B000MS5QWW,"25 FDA Approved One Step HCG Urine Pregnancy Test, Cassette Style",AR24MUN9KUZ0I,0/0,4,1360713600,"I really like everything about this test. I like how it is very accurate, how it is in a small convent package, the price is great, and that it comes with a dropper. The only reason why I gave it 4 stars instead of 5 is because it would have been perfect if these came with a collection cup.",health personal care,health care,family planning contraceptives
B000PWZU4E,25 Ultra Pro 9 Pocket Page Protectors Fits 3-Ring Binder for Baseball and Other Sports Cards!,A3MBKR4356OMAM,0/0,5,1344988800,These pocket pages are great for keeping all of my son's collectable cards organized. Now they are in the 3 ring binders instead of covering every surface in the house.,toys games,grown up toys,unknown
B000PWZU4E,25 Ultra Pro 9 Pocket Page Protectors Fits 3-Ring Binder for Baseball and Other Sports Cards!,A2ODJGNQ7CJD7B,0/0,5,1355875200,I know the grandson will love these so they can protect the cards that seem to have the most points.,toys games,grown up toys,unknown
B000PWZU4E,25 Ultra Pro 9 Pocket Page Protectors Fits 3-Ring Binder for Baseball and Other Sports Cards!,AQ83EIH1S4Y55,02-Feb,5,1358640000,"If you're just starting to coupon I recommend getting the 100 pack for twice the money with 4x's the quantity, its a better value and those coupons will overtake 25 sheets pretty quick. I looove these for organizing my coupons. You can see your coupons and bring your binder shopping with you in case of emergency deals. The 25 sheets will fit in a 1inch binder but if you're like me you'll need a thicker size binder to hold more sheets. The plastic is very durable and will hold coupons tight without slipping out.Someone made a comment about 9 pockets on a page makes the pocket size too small have to fold, too tight, and doesnt hold several. I find that statement inaccurate. Some coupons especially printed ones are just so big you will have to fold them no matter how many pockets are on the page. I do have to fold at least half my coupons but I am able to do that with the pertinent information facing out. And it will hold several coupons in a pocket, even folded ones.",toys games,grown up toys,unknown
B00014D6QU,25000 IU Vitamin E Age Renewal Moisturizing Cream by Jason 4 Ounces,A1714WVVXSC2X9,0/0,4,1350950400,"I ordered this cream to use on extremely dry heels and elbows. It has worked well and is not greasy or heavy. My only issue with this cream is that the smell is a bit offputting. Its not horrible, but it doesn't smell like sunshine and roses either. The best adjective I can come up with is ""chemically"". If the benefit is worth the smell, then buy it. It does work.",beauty,skin care,unknown
B000K7EYYQ,27 Pc Cookware Playset - Primary,AAQM7RSGY5IAB,0/0,3,1356393600,"It would be wonderful if the plastic were stronger or even a metal material!!!! More durable ad real looking would be woth a little extra money.....and to make the siverware metal would have been perfect......and how about adding colored plastic glasses, afterall, aren't glasses more familiar to a child than COFFEE CUPS!!!! I seached for weeks and weeks for a REALLY NICE table settings set and yours was the best I could find but not what I wanted.",toys games,dress up pretend play,pretend play
B000K7EYYQ,27 Pc Cookware Playset - Primary,A2LV4G71YN99WC,0/0,5,1356566400,Daughter loves the dishware. It appears to be sturdy and well made.It survives my 2 year old anyway. o,toys games,dress up pretend play,pretend play
B000JFLRX0,"28"" Blazingly Fast Victory EP Racing RC Boat EP777",A1H9QE0JCS7BDF,0/0,1,1358035200,"I recieved product, which came with do directions and did not work once assembled with the battery pack. I returned the item and was told I would recieve my money back minus the 20% restocking fee and shipping. I have yet to recieve a refund or a notice about the refund. Would not purchase again.",toys games,hobbies,radio control
B000G8BFC8,2IN1 LASER PET TOY EXERCISER,A1ORV95CWN9MXY,0/0,5,1359849600,"We have 6 cats who are spending WAY too much time indoors and getting into trouble during the winter months, so i got these lasers in the hopes i could get them to burn off some of their excess energy -- and boy do these work!!! The cats go crazy chasing the red light around and we're able to get them to spin in circles or even jump up on the wall! And, if one family member is being especially irritating, the laser light might 'accidentally' show up on their leg right before the cat leaps for it ;). Fun for the WHOLE family!!",pet supplies,cats,toys
B0001GZ6GG,3 pack 1/2 grain 1000 saccharin tablets,A15QAOBJWAPC13,0/0,5,1359590400,"I use in my coffee every day, By using this I've lost over 100 pounds. With this and watching my carbs.",grocery gourmet food,cooking baking supplies,sugar substitutes
B000K9JRH8,3 Pack of Da Bird Guinea Feather Refills,A14IFKALTZIRSM,01-Jan,5,1354060800,"The price for these feathers seems a bit high,but I don't think you could find them for less. The feathers themselves are good quality and my cat absolutely loves them. They don't all fly the same way ( some rotate better then others it seems), but you can usually adjust the feathers enough to get it to fly better and rotate more. Overall, my cats favorite toy. When he ruins the feathers on one of these, I take it off the wand and let him use it as a stand alone toy to destroy to his hearts content!",pet supplies,cats,toys
